Country_Region,code,pop_2018
Afghanistan,AFG,37172386
Albania,ALB,2866376
Algeria,DZA,42228429
American Samoa,ASM,55465
Andorra,AND,77006
Angola,AGO,30809762
Antigua and Barbuda,ATG,96286
Argentina,ARG,44494502
Armenia,ARM,2951776
Aruba,ABW,105845
Australia,AUS,24982688
Austria,AUT,8840521
Azerbaijan,AZE,9939800
"Bahamas, The",BHS,385640
Bahrain,BHR,1569439
Bangladesh,BGD,161356039
Barbados,BRB,286641
Belarus,BLR,9483499
Belgium,BEL,11433256
Belize,BLZ,383071
Benin,BEN,11485048
Bermuda,BMU,63973
Bhutan,BTN,754394
Bolivia,BOL,11353142
Bosnia and Herzegovina,BIH,3323929
Botswana,BWA,2254126
Brazil,BRA,209469333
British Virgin Islands,VGB,29802
Brunei Darussalam,BRN,428962
Bulgaria,BGR,7025037
Burkina Faso,BFA,19751535
Burundi,BDI,11175378
Cabo Verde,CPV,543767
Cambodia,KHM,16249798
Cameroon,CMR,25216237
Canada,CAN,37057765
Cayman Islands,CYM,64174
Central African Republic,CAF,4666377
Chad,TCD,15477751
Channel Islands,CHI,170499
Chile,CHL,18729160
China,CHN,1392730000
Colombia,COL,49648685
Comoros,COM,832322
"Congo, Dem. Rep.",COD,84068091
"Congo, Rep.",COG,5244363
Costa Rica,CRI,4999441
Cote d'Ivoire,CIV,25069229
Croatia,HRV,4087843
Cuba,CUB,11338138
Curacao,CUW,159800
Cyprus,CYP,1189265
Czech Republic,CZE,10629928
Denmark,DNK,5793636
Djibouti,DJI,958920
Dominica,DMA,71625
Dominican Republic,DOM,10627165
Ecuador,ECU,17084357
Egypt,EGY,98423595
El Salvador,SLV,6420744
Equatorial Guinea,GNQ,1308974
Eritrea,ERI,..
Estonia,EST,1321977
Eswatini,SWZ,1136191
Ethiopia,ETH,109224559
Faroe Islands,FRO,48497
Fiji,FJI,883483
Finland,FIN,5515525
France,FRA,66977107
French Polynesia,PYF,277679
Gabon,GAB,2119275
"Gambia, The",GMB,2280102
Georgia,GEO,3726549
Germany,DEU,82905782
Ghana,GHA,29767108
Gibraltar,GIB,33718
Greece,GRC,10731726
Greenland,GRL,56025
Grenada,GRD,111454
Guam,GUM,165768
Guatemala,GTM,17247807
Guinea,GIN,12414318
Guinea-Bissau,GNB,1874309
Guyana,GUY,779004
Haiti,HTI,11123176
Honduras,HND,9587522
"Hong Kong SAR, China",HKG,7451000
Hungary,HUN,9775564
Iceland,ISL,352721
India,IND,1352617328
Indonesia,IDN,267663435
"Iran, Islamic Rep.",IRN,81800269
Iraq,IRQ,38433600
Ireland,IRL,4867309
Isle of Man,IMN,84077
Israel,ISR,8882800
Italy,ITA,60421760
Jamaica,JAM,2934855
Japan,JPN,126529100
Jordan,JOR,9956011
Kazakhstan,KAZ,18272430
Kenya,KEN,51393010
Kiribati,KIR,115847
"Korea, Dem. People’s Rep.",PRK,25549819
"Korea, Rep.",KOR,51606633
Kosovo,XKX,1845300
Kuwait,KWT,4137309
Kyrgyz Republic,KGZ,6322800
Lao PDR,LAO,7061507
Latvia,LVA,1927174
Lebanon,LBN,6848925
Lesotho,LSO,2108132
Liberia,LBR,4818977
Libya,LBY,6678567
Liechtenstein,LIE,37910
Lithuania,LTU,2801543
Luxembourg,LUX,607950
"Macao SAR, China",MAC,631636
Madagascar,MDG,26262368
Malawi,MWI,18143315
Malaysia,MYS,31528585
Maldives,MDV,515696
Mali,MLI,19077690
Malta,MLT,484630
Marshall Islands,MHL,58413
Mauritania,MRT,4403319
Mauritius,MUS,1265303
Mexico,MEX,126190788
"Micronesia, Fed. Sts.",FSM,112640
Moldova,MDA,2706049
Monaco,MCO,38682
Mongolia,MNG,3170208
Montenegro,MNE,622227
Morocco,MAR,36029138
Mozambique,MOZ,29495962
Myanmar,MMR,53708395
Namibia,NAM,2448255
